hour_of_day,day_of_week,party_size,tables_occupied,tables_total,queue_length,avg_party_size_ahead,occupancy_rate,is_peak_hour,is_weekend,wait_minutes
18,4,3,3,28,7,1.73,0.107,0,0,3.4
12,1,3,14,28,11,3.16,0.5,0,0,25.2
22,5,3,11,28,6,1.99,0.393,1,1,5.7
20,2,4,10,28,12,4.34,0.357,1,0,5.8
22,2,2,16,28,14,4.71,0.571,1,0,46.4
18,5,3,14,28,14,3.98,0.5,0,1,35.1
12,5,3,14,28,12,4.82,0.5,0,1,32.4
15,5,2,21,28,13,3.11,0.75,1,1,80.7
13,5,5,7,28,11,4.64,0.25,1,1,6.0
11,2,4,10,28,14,2.35,0.357,0,0,7.8
14,2,3,23,28,10,4.93,0.821,1,0,94.2
19,3,2,24,28,1,3.58,0.857,1,0,10.4
20,5,2,18,28,12,4.68,0.643,1,1,54.5
12,0,8,20,28,1,4.88,0.714,0,0,9.6
14,6,2,10,28,6,4.23,0.357,1,1,7.8
12,5,5,11,28,8,4.42,0.393,0,1,6.7
22,3,2,10,28,4,2.28,0.357,1,0,3.9
12,6,4,21,28,4,2.36,0.75,0,1,23.7
13,3,4,9,28,3,2.51,0.321,1,0,4.4
21,1,10,24,28,12,3.19,0.857,1,0,120.0
13,2,8,13,28,0,4.26,0.464,1,0,3.5
14,4,3,3,28,0,2.34,0.107,1,0,3.1
14,3,1,10,28,8,1.64,0.357,1,0,2.2
11,5,5,12,28,8,4.83,0.429,0,1,5.5
21,2,3,11,28,9,4.44,0.393,1,0,2.9
17,6,6,7,28,4,2.97,0.25,0,1,6.7
20,3,3,19,28,12,3.57,0.679,1,0,60.5
19,2,4,13,28,11,3.73,0.464,1,0,4.2
20,6,5,0,28,2,1.83,0.0,1,1,7.0
14,1,4,23,28,9,4.39,0.821,1,0,81.9
15,3,3,4,28,14,1.95,0.143,1,0,6.6
19,4,3,21,28,5,1.69,0.75,1,0,35.7
20,6,2,20,28,12,3.03,0.714,1,1,68.8
13,6,4,8,28,4,4.16,0.286,1,1,5.7
15,0,2,18,28,13,1.94,0.643,1,0,48.1
21,6,5,6,28,7,4.17,0.214,1,1,5.3
18,0,3,22,28,14,4.14,0.786,0,0,69.4
20,5,2,3,28,3,3.71,0.107,1,1,2.8
15,5,4,24,28,2,2.79,0.857,1,1,30.6
19,6,5,7,28,14,4.0,0.25,1,1,4.8
11,6,4,6,28,12,4.52,0.214,0,1,3.6
21,0,2,12,28,5,2.67,0.429,1,0,7.9
13,0,4,11,28,14,3.02,0.393,1,0,5.3
11,2,3,3,28,3,2.85,0.107,0,0,2.2
14,2,1,0,28,13,4.45,0.0,1,0,2.6
18,2,3,5,28,8,3.37,0.179,0,0,5.2
15,0,2,15,28,5,1.91,0.536,1,0,15.6
14,3,2,23,28,5,3.85,0.821,1,0,39.9
15,6,2,22,28,2,4.48,0.786,1,1,15.8
14,3,2,11,28,13,2.87,0.393,1,0,3.1
22,0,6,4,28,8,4.57,0.143,1,0,5.6
18,2,3,17,28,8,3.9,0.607,0,0,23.6
15,2,2,14,28,6,4.81,0.5,1,0,21.0
17,5,4,21,28,12,1.85,0.75,0,1,77.5
18,1,6,8,28,8,1.54,0.286,0,0,4.7
20,0,2,4,28,11,2.91,0.143,1,0,6.4
20,3,3,16,28,11,1.76,0.571,1,0,42.2
13,1,2,9,28,5,4.89,0.321,1,0,5.6
17,2,2,5,28,3,2.54,0.179,0,0,2.6
22,2,4,14,28,1,2.44,0.5,1,0,11.0
12,5,8,14,28,10,3.87,0.5,0,1,47.0
19,2,2,1,28,12,2.11,0.036,1,0,2.7
19,1,4,21,28,2,4.59,0.75,1,0,19.0
21,5,4,24,28,12,2.93,0.857,1,1,120.0
11,0,3,0,28,9,2.9,0.0,0,0,7.0
20,5,8,16,28,9,1.53,0.571,1,1,64.8
16,1,2,20,28,14,4.33,0.714,0,0,49.8
21,0,3,18,28,7,2.3,0.643,1,0,32.3
21,0,4,17,28,3,2.21,0.607,1,0,16.9
14,6,1,0,28,8,1.56,0.0,1,1,2.5
12,2,3,2,28,13,3.62,0.071,0,0,6.0
12,5,8,9,28,1,4.32,0.321,0,1,6.9
21,6,3,13,28,2,3.66,0.464,1,1,6.5
18,2,3,18,28,13,2.8,0.643,0,0,43.1
19,4,4,24,28,6,2.44,0.857,1,0,78.0
19,1,4,20,28,1,3.71,0.714,1,0,5.5
21,2,4,7,28,3,3.37,0.25,1,0,2.9
22,1,5,21,28,10,3.6,0.75,1,0,81.2
17,4,3,23,28,3,2.24,0.821,0,0,15.3
11,6,4,5,28,1,2.93,0.179,0,1,7.5
15,4,2,9,28,11,3.82,0.321,1,0,7.3
14,2,2,4,28,0,2.58,0.143,1,0,3.5
18,1,3,20,28,12,2.74,0.714,0,0,49.4
17,5,6,4,28,3,3.71,0.143,0,1,4.2
20,6,2,16,28,4,4.66,0.571,1,1,17.3
16,2,5,6,28,5,3.33,0.214,0,0,6.8
17,0,2,15,28,2,2.95,0.536,0,0,5.0
14,6,3,12,28,0,4.09,0.429,1,1,7.2
15,5,4,21,28,5,1.79,0.75,1,1,40.0
11,5,2,9,28,2,2.35,0.321,0,1,4.1
22,2,2,8,28,9,3.63,0.286,1,0,3.5
17,6,3,18,28,5,2.27,0.643,0,1,19.5
19,6,4,0,28,2,3.88,0.0,1,1,4.5
20,0,2,1,28,2,3.41,0.036,1,0,5.5
11,4,2,6,28,7,3.92,0.214,0,0,3.2
15,1,6,6,28,9,3.28,0.214,1,0,4.5
11,5,4,24,28,10,3.16,0.857,0,1,109.3
15,2,4,15,28,8,4.06,0.536,1,0,34.2
19,5,5,18,28,11,2.67,0.643,1,1,76.4
19,6,3,18,28,2,4.49,0.643,1,1,10.5
15,5,3,7,28,1,4.66,0.25,1,1,3.2
18,5,3,14,28,8,4.1,0.5,0,1,25.0
22,3,4,12,28,1,2.81,0.429,1,0,6.8
14,4,4,2,28,2,1.75,0.071,1,0,6.4
18,2,4,3,28,10,2.79,0.107,0,0,2.3
21,2,3,1,28,13,4.45,0.036,1,0,4.2
22,1,4,14,28,8,3.53,0.5,1,0,33.1
17,1,4,2,28,4,2.23,0.071,0,0,6.3
21,6,4,5,28,12,2.06,0.179,1,1,3.5
13,4,4,3,28,9,3.53,0.107,1,0,5.8
20,3,3,12,28,10,2.45,0.429,1,0,3.2
21,0,2,1,28,13,4.54,0.036,1,0,6.3
21,6,4,1,28,1,2.84,0.036,1,1,6.9
12,5,4,5,28,8,2.42,0.179,0,1,7.6
11,5,2,20,28,9,2.47,0.714,0,1,31.2
21,3,5,9,28,6,4.22,0.321,1,0,6.9
17,6,2,19,28,9,3.95,0.679,0,1,30.6
11,4,2,5,28,12,4.58,0.179,0,0,3.5
15,3,1,17,28,5,3.0,0.607,1,0,9.4
21,6,6,7,28,12,4.39,0.25,1,1,7.1
21,0,4,5,28,10,5.0,0.179,1,0,4.0
21,4,5,12,28,10,2.35,0.429,1,0,2.2
11,2,1,20,28,2,2.92,0.714,0,0,5.0
17,6,3,2,28,2,3.69,0.071,0,1,7.2
20,2,4,18,28,10,3.87,0.643,1,0,53.7
21,0,2,18,28,6,4.75,0.643,1,0,22.9
15,6,2,18,28,4,4.93,0.643,1,1,20.5
14,5,5,19,28,5,3.58,0.679,1,1,37.1
12,2,4,17,28,7,4.8,0.607,0,0,20.9
15,3,3,8,28,10,3.94,0.286,1,0,5.9
20,5,2,6,28,3,2.95,0.214,1,1,3.2
16,5,4,16,28,12,4.82,0.571,0,1,43.7
11,6,2,14,28,11,3.09,0.5,0,1,25.2
14,5,6,23,28,9,2.91,0.821,1,1,120.0
16,1,6,10,28,7,1.83,0.357,0,0,5.6
14,4,3,16,28,3,4.58,0.571,1,0,7.7
21,6,3,14,28,7,2.19,0.5,1,1,24.2
19,2,2,4,28,9,3.92,0.143,1,0,5.6
19,6,5,13,28,3,2.72,0.464,1,1,4.6
22,0,4,9,28,13,2.57,0.321,1,0,5.3
12,1,3,1,28,10,3.14,0.036,0,0,3.6
20,3,3,19,28,2,4.95,0.679,1,0,12.9
19,3,2,7,28,10,2.64,0.25,1,0,3.8
18,3,5,16,28,3,3.86,0.571,0,0,8.9
16,6,10,23,28,6,1.85,0.821,0,1,87.4
17,2,4,4,28,5,4.23,0.143,0,0,3.8
18,2,1,22,28,0,3.05,0.786,0,0,5.0
17,1,2,1,28,8,2.17,0.036,0,0,4.1
12,2,10,16,28,14,2.2,0.571,0,0,70.6
17,6,4,8,28,7,2.8,0.286,0,1,3.2
12,4,4,11,28,11,3.9,0.393,0,0,5.9
19,2,4,15,28,6,3.94,0.536,1,0,24.6
18,4,6,16,28,4,3.29,0.571,0,0,6.8
19,3,3,21,28,3,4.9,0.75,1,0,19.5
21,5,2,23,28,11,2.08,0.821,1,1,104.0
13,3,3,21,28,1,4.66,0.75,1,0,10.5
17,5,2,13,28,2,4.79,0.464,0,1,7.4
22,0,4,4,28,13,4.96,0.143,1,0,2.2
15,1,3,21,28,3,1.5,0.75,1,0,24.8
20,1,2,19,28,12,2.31,0.679,1,0,53.4
11,1,2,12,28,6,2.52,0.429,0,0,3.2
20,6,6,6,28,4,3.13,0.214,1,1,6.6
17,1,4,16,28,13,5.0,0.571,0,0,34.0
12,4,4,17,28,12,3.86,0.607,0,0,35.6
19,3,3,20,28,6,3.69,0.714,1,0,35.6
11,0,3,21,28,14,2.06,0.75,0,0,63.9
19,6,3,12,28,13,4.7,0.429,1,1,3.1
21,5,4,10,28,7,2.2,0.357,1,1,2.3
17,2,4,0,28,9,3.87,0.0,0,0,5.4
17,5,3,5,28,4,4.12,0.179,0,1,4.6
18,0,2,18,28,10,2.52,0.643,0,0,26.7
15,2,2,7,28,2,3.73,0.25,1,0,5.6
16,2,2,1,28,5,4.82,0.036,0,0,7.3
14,5,2,10,28,3,4.87,0.357,1,1,2.1
11,0,2,13,28,2,2.59,0.464,0,0,4.0
18,2,5,9,28,1,4.97,0.321,0,0,5.2
22,1,6,11,28,10,1.82,0.393,1,0,3.0
22,6,2,13,28,12,3.06,0.464,1,1,5.0
20,5,2,8,28,9,3.77,0.286,1,1,3.6
13,2,2,2,28,9,4.8,0.071,1,0,6.7
13,3,5,11,28,9,4.01,0.393,1,0,7.1
12,3,4,3,28,6,2.55,0.107,0,0,2.6
16,0,4,2,28,9,3.61,0.071,0,0,7.2
14,5,2,0,28,3,2.51,0.0,1,1,5.0
20,5,4,13,28,8,2.08,0.464,1,1,2.7
15,5,6,15,28,11,4.07,0.536,1,1,64.2
22,2,4,22,28,2,2.94,0.786,1,0,17.4
20,0,6,7,28,6,2.39,0.25,1,0,6.7
20,4,2,4,28,7,1.82,0.143,1,0,5.5
15,0,6,1,28,0,3.95,0.036,1,0,5.7
21,3,2,6,28,9,4.26,0.214,1,0,6.5
16,3,10,8,28,6,4.89,0.286,0,0,4.6
12,6,2,24,28,11,3.33,0.857,0,1,89.2
20,5,6,14,28,0,1.77,0.5,1,1,5.0
13,4,4,14,28,0,2.65,0.5,1,0,5.0
16,2,2,14,28,7,4.33,0.5,0,0,5.5
16,4,3,16,28,14,2.56,0.571,0,0,37.9
19,1,1,4,28,9,2.93,0.143,1,0,3.0
12,1,2,24,28,13,4.46,0.857,0,0,92.3
17,3,2,18,28,14,4.78,0.643,0,0,37.4
13,3,4,15,28,11,4.35,0.536,1,0,43.3
11,6,2,0,28,2,2.74,0.0,0,1,4.5
20,5,2,14,28,14,2.51,0.5,1,1,45.7
14,4,2,12,28,1,3.45,0.429,1,0,3.4
18,6,4,8,28,6,2.27,0.286,0,1,7.3
18,3,6,9,28,12,3.7,0.321,0,0,4.4
20,5,3,4,28,4,3.0,0.143,1,1,6.4
21,5,2,4,28,13,3.39,0.143,1,1,7.1
22,3,4,5,28,9,4.45,0.179,1,0,4.9
19,4,6,5,28,7,1.64,0.179,1,0,3.6
21,2,8,3,28,14,2.88,0.107,1,0,6.4
15,5,5,2,28,5,1.96,0.071,1,1,4.3
17,2,3,9,28,2,4.99,0.321,0,0,3.1
11,1,2,8,28,8,2.13,0.286,0,0,5.7
15,6,3,22,28,13,4.22,0.786,1,1,116.6
12,4,4,14,28,8,4.29,0.5,0,0,23.4
17,6,1,13,28,2,3.61,0.464,0,1,3.0
13,2,1,20,28,5,4.91,0.714,1,0,24.3
17,0,2,1,28,11,1.63,0.036,0,0,7.6
21,2,3,18,28,1,4.5,0.643,1,0,5.0
20,3,3,3,28,6,1.52,0.107,1,0,2.4
21,2,4,7,28,6,1.96,0.25,1,0,5.1
18,3,3,10,28,0,2.28,0.357,0,0,3.9
14,4,2,15,28,3,3.08,0.536,1,0,12.2
22,4,2,15,28,13,4.13,0.536,1,0,39.2
15,4,2,3,28,14,3.35,0.107,1,0,3.0
20,4,5,22,28,3,3.42,0.786,1,0,26.0
19,5,2,1,28,5,1.94,0.036,1,1,3.0
16,3,4,18,28,6,4.31,0.643,0,0,17.7
14,0,2,18,28,5,2.34,0.643,1,0,15.9
19,3,4,3,28,1,2.89,0.107,1,0,2.9
21,4,2,3,28,12,4.96,0.107,1,0,2.2
19,1,3,3,28,2,2.09,0.107,1,0,4.1
13,0,3,18,28,14,3.14,0.643,1,0,58.8
12,1,2,16,28,13,1.58,0.571,0,0,35.6
21,0,2,20,28,3,3.61,0.714,1,0,9.7
11,0,3,0,28,14,2.24,0.0,0,0,6.6
12,1,5,11,28,2,1.94,0.393,0,0,7.9
21,2,5,11,28,2,3.87,0.393,1,0,5.6
12,0,4,21,28,13,2.82,0.75,0,0,67.3
22,0,1,9,28,11,4.8,0.321,1,0,3.9
18,0,4,14,28,4,3.78,0.5,0,0,9.2
12,2,2,15,28,1,2.14,0.536,0,0,5.0
19,1,3,8,28,11,1.6,0.286,1,0,5.7
19,1,5,6,28,11,4.22,0.214,1,0,6.0
14,5,2,24,28,13,2.89,0.857,1,1,120.0
14,4,1,20,28,9,3.41,0.714,1,0,41.6
15,1,2,1,28,9,2.92,0.036,1,0,2.9
14,4,2,13,28,14,3.94,0.464,1,0,7.4
19,0,5,19,28,1,3.53,0.679,1,0,8.7
21,4,4,7,28,2,3.58,0.25,1,0,2.1
16,3,2,12,28,6,3.45,0.429,0,0,4.1
22,0,5,14,28,11,3.77,0.5,1,0,41.6
21,3,4,13,28,14,4.62,0.464,1,0,2.1
13,0,4,13,28,5,1.82,0.464,1,0,6.9
21,3,4,8,28,12,1.8,0.286,1,0,5.3
16,1,4,24,28,7,1.83,0.857,0,0,61.1
21,6,10,23,28,10,3.36,0.821,1,1,120.0
20,2,6,2,28,0,2.62,0.071,1,0,4.9
11,0,3,19,28,5,3.57,0.679,0,0,14.8
22,2,4,11,28,11,3.5,0.393,1,0,3.5
17,3,3,18,28,5,1.82,0.643,0,0,20.3
21,4,4,24,28,5,2.58,0.857,1,0,67.3
21,2,2,7,28,9,3.33,0.25,1,0,3.7
17,2,2,8,28,3,3.78,0.286,0,0,7.0
13,3,3,22,28,13,1.67,0.786,1,0,97.0
20,2,6,1,28,10,2.45,0.036,1,0,4.4
14,5,4,0,28,2,4.33,0.0,1,1,5.5
16,6,3,10,28,6,3.13,0.357,0,1,3.1
20,5,4,10,28,2,4.69,0.357,1,1,2.1
18,0,8,21,28,5,2.66,0.75,0,0,34.2
11,6,3,10,28,11,4.77,0.357,0,1,3.5
17,1,4,14,28,8,2.82,0.5,0,0,25.5
16,4,2,3,28,13,2.07,0.107,0,0,5.9
11,2,3,19,28,12,4.55,0.679,0,0,43.6
16,1,4,20,28,5,3.77,0.714,0,0,22.4
16,6,3,6,28,5,1.97,0.214,0,1,3.2
20,1,2,15,28,12,1.89,0.536,1,0,35.0
22,4,4,3,28,0,3.67,0.107,1,0,6.2
14,0,1,17,28,8,1.85,0.607,1,0,26.6
18,4,2,3,28,1,3.35,0.107,0,0,6.1
19,1,2,15,28,2,2.03,0.536,1,0,11.9
11,6,6,15,28,6,3.26,0.536,0,1,20.2
16,2,4,11,28,13,2.76,0.393,0,0,3.8
17,4,2,22,28,9,2.12,0.786,0,0,43.3
15,5,4,0,28,9,4.33,0.0,1,1,7.7
21,6,10,20,28,11,4.35,0.714,1,1,120.0
11,2,2,14,28,1,3.75,0.5,0,0,5.0
13,6,6,11,28,5,2.26,0.393,1,1,4.7
21,6,5,3,28,10,3.56,0.107,1,1,4.1
18,5,2,5,28,9,4.25,0.179,0,1,5.6
17,2,8,13,28,6,3.62,0.464,0,0,3.3
17,0,4,12,28,5,1.71,0.429,0,0,5.6
20,4,3,9,28,10,3.83,0.321,1,0,2.5
21,6,2,9,28,11,2.35,0.321,1,1,5.6
22,6,5,18,28,2,2.84,0.643,1,1,13.0
17,1,2,3,28,2,1.72,0.107,0,0,2.4
17,4,10,8,28,11,2.4,0.286,0,0,2.7
17,6,4,1,28,8,4.66,0.036,0,1,5.1
22,0,2,15,28,13,3.09,0.536,1,0,41.3
19,0,4,13,28,13,2.36,0.464,1,0,4.1
21,5,4,10,28,8,2.0,0.357,1,1,4.3
22,1,4,24,28,11,3.75,0.857,1,0,120.0
21,6,3,19,28,11,2.67,0.679,1,1,66.0
18,6,3,12,28,4,1.84,0.429,0,1,3.1
12,1,4,12,28,1,2.66,0.429,0,0,6.7
12,6,2,10,28,2,4.97,0.357,0,1,3.4
16,4,2,8,28,0,2.93,0.286,0,0,7.9
17,5,2,11,28,6,2.45,0.393,0,1,6.4
11,2,3,19,28,12,2.13,0.679,0,0,44.2
15,1,6,2,28,7,3.42,0.071,1,0,4.4
17,3,10,15,28,11,3.86,0.536,0,0,47.8
22,6,6,20,28,9,4.67,0.714,1,1,82.3
19,0,2,22,28,2,3.84,0.786,1,0,5.2
21,1,4,0,28,4,3.15,0.0,1,0,5.3
22,1,2,14,28,7,2.39,0.5,1,0,18.0
17,1,1,5,28,10,3.93,0.179,0,0,5.4
15,1,3,12,28,12,3.04,0.429,1,0,3.9
16,4,2,8,28,1,2.51,0.286,0,0,2.0
16,2,2,5,28,5,1.58,0.179,0,0,5.5
18,2,2,2,28,0,1.82,0.071,0,0,5.8
11,3,3,12,28,2,4.64,0.429,0,0,3.2
11,3,2,1,28,8,2.61,0.036,0,0,5.8
17,2,4,21,28,2,2.4,0.75,0,0,7.5
22,6,3,24,28,12,3.58,0.857,1,1,120.0
15,1,2,8,28,10,1.81,0.286,1,0,3.0
19,3,4,23,28,3,2.76,0.821,1,0,25.5
18,0,2,3,28,0,1.57,0.107,0,0,2.9
14,4,3,19,28,14,3.82,0.679,1,0,74.1
12,4,6,9,28,12,4.02,0.321,0,0,3.7
18,2,1,13,28,8,1.98,0.464,0,0,2.0
15,4,1,3,28,7,2.96,0.107,1,0,4.1
22,0,4,1,28,5,2.94,0.036,1,0,3.3
18,6,2,13,28,9,4.24,0.464,0,1,6.6
19,6,8,11,28,6,1.96,0.393,1,1,6.0
20,6,4,22,28,5,2.78,0.786,1,1,49.3
14,4,2,18,28,13,2.2,0.643,1,0,49.6
18,0,3,24,28,11,4.64,0.857,0,0,87.0
16,3,3,18,28,0,1.72,0.643,0,0,5.0
16,2,2,15,28,3,3.2,0.536,0,0,8.8
17,2,4,3,28,8,4.69,0.107,0,0,2.6
16,4,2,22,28,0,3.84,0.786,0,0,5.0
21,1,2,1,28,11,4.31,0.036,1,0,7.2
13,1,2,21,28,7,2.32,0.75,1,0,42.0
17,0,10,7,28,7,3.76,0.25,0,0,5.7
13,5,2,6,28,10,4.86,0.214,1,1,3.3
17,3,2,10,28,9,3.42,0.357,0,0,3.1
14,4,3,16,28,2,4.28,0.571,1,0,5.4
13,3,6,2,28,3,3.14,0.071,1,0,6.2
11,3,4,22,28,1,2.93,0.786,0,0,6.2
14,6,2,2,28,13,4.8,0.071,1,1,3.8
18,4,2,19,28,0,2.28,0.679,0,0,5.0
12,5,2,13,28,8,2.1,0.464,0,1,3.0
17,4,1,24,28,5,1.72,0.857,0,0,28.2
15,5,5,19,28,4,2.94,0.679,1,1,22.6
16,2,6,17,28,9,3.86,0.607,0,0,34.7
17,1,6,6,28,1,4.11,0.214,0,0,3.9
19,4,2,15,28,2,1.69,0.536,1,0,5.0
18,0,3,24,28,1,1.5,0.857,0,0,5.9
16,2,2,17,28,6,4.75,0.607,0,0,16.8
11,0,2,3,28,12,2.72,0.107,0,0,4.2
11,3,2,22,28,3,4.71,0.786,0,0,13.2
12,1,2,16,28,12,1.78,0.571,0,0,26.9
16,4,4,10,28,6,4.35,0.357,0,0,7.3
12,6,4,1,28,9,1.63,0.036,0,1,6.8
12,1,4,5,28,5,4.24,0.179,0,0,7.3
11,3,5,20,28,9,2.71,0.714,0,0,47.0
14,2,1,0,28,5,2.34,0.0,1,0,3.4
17,2,3,24,28,6,2.28,0.857,0,0,46.3
16,2,6,18,28,8,3.38,0.643,0,0,33.8
12,6,10,5,28,13,3.86,0.179,0,1,7.1
18,5,4,22,28,2,2.64,0.786,0,1,17.3
12,2,4,0,28,3,4.53,0.0,0,0,2.7
11,2,3,20,28,4,1.99,0.714,0,0,13.6
20,3,4,9,28,10,1.55,0.321,1,0,6.8
17,3,4,11,28,14,4.57,0.393,0,0,7.7
17,2,4,17,28,12,3.07,0.607,0,0,30.9
22,5,4,8,28,3,3.82,0.286,1,1,2.7
20,5,4,5,28,12,2.15,0.179,1,1,7.7
17,6,8,0,28,14,3.95,0.0,0,1,7.1
21,0,4,1,28,6,4.4,0.036,1,0,5.0
16,6,3,2,28,14,3.7,0.071,0,1,5.8
11,0,3,6,28,2,4.39,0.214,0,0,6.2
21,6,5,13,28,3,3.72,0.464,1,1,4.1
17,1,4,3,28,4,2.84,0.107,0,0,2.8
20,2,2,9,28,2,3.75,0.321,1,0,5.6
19,6,4,16,28,13,3.15,0.571,1,1,58.6
12,6,3,24,28,6,2.94,0.857,0,1,56.0
20,0,5,24,28,4,2.76,0.857,1,0,51.7
11,0,2,24,28,1,2.89,0.857,0,0,7.7
22,5,5,3,28,0,1.89,0.107,1,1,5.4
18,1,4,20,28,1,4.6,0.714,0,0,9.1
12,1,2,4,28,12,2.65,0.143,0,0,4.2
11,4,2,17,28,10,4.08,0.607,0,0,32.7
18,6,6,8,28,12,2.4,0.286,0,1,4.8
15,6,4,19,28,9,2.98,0.679,1,1,61.4
12,4,2,0,28,9,3.44,0.0,0,0,3.8
22,0,2,2,28,10,4.29,0.071,1,0,7.0
18,3,4,21,28,6,2.69,0.75,0,0,30.6
14,4,4,0,28,0,1.57,0.0,1,0,2.4
20,4,3,5,28,3,2.15,0.179,1,0,6.5
21,1,2,6,28,0,4.12,0.214,1,0,4.9
13,3,3,10,28,1,2.99,0.357,1,0,4.9
22,1,3,12,28,13,2.38,0.429,1,0,4.7
20,4,2,3,28,7,1.64,0.107,1,0,7.9
17,0,5,1,28,3,4.5,0.036,0,0,7.6
17,3,4,3,28,13,3.51,0.107,0,0,4.0
16,4,6,21,28,1,2.65,0.75,0,0,7.4
13,6,4,18,28,5,2.22,0.643,1,1,33.9
15,2,2,6,28,10,3.88,0.214,1,0,3.6
13,1,4,20,28,4,1.92,0.714,1,0,23.9
20,4,4,24,28,10,3.97,0.857,1,0,120.0
20,4,3,13,28,6,4.02,0.464,1,0,7.6
22,6,2,8,28,9,4.04,0.286,1,1,2.7
13,0,4,3,28,9,2.08,0.107,1,0,4.3
16,0,8,4,28,2,4.73,0.143,0,0,6.6
12,5,2,18,28,10,3.68,0.643,0,1,32.9
18,1,2,20,28,3,2.19,0.714,0,0,18.0
14,3,2,11,28,12,3.8,0.393,1,0,4.6
15,5,4,17,28,13,4.77,0.607,1,1,71.5
11,1,4,21,28,12,3.16,0.75,0,0,64.2
22,1,6,5,28,0,3.68,0.179,1,0,2.4
13,1,4,20,28,7,2.13,0.714,1,0,43.1
11,2,4,24,28,3,4.43,0.857,0,0,21.7
20,2,2,24,28,3,2.82,0.857,1,0,29.3
17,1,3,7,28,13,2.84,0.25,0,0,6.3
17,0,5,17,28,14,2.98,0.607,0,0,52.0
12,3,3,17,28,12,3.5,0.607,0,0,31.2
22,4,2,19,28,0,4.88,0.679,1,0,5.0
20,1,5,14,28,12,3.95,0.5,1,0,50.6
15,5,3,22,28,10,2.49,0.786,1,1,85.4
11,3,6,20,28,8,3.2,0.714,0,0,44.6
16,4,2,2,28,9,3.3,0.071,0,0,2.6
22,1,1,17,28,12,4.51,0.607,1,0,39.0
22,1,1,6,28,9,4.48,0.214,1,0,4.1
17,5,4,14,28,4,3.38,0.5,0,1,14.2
19,4,2,14,28,9,3.17,0.5,1,0,22.6
17,3,4,14,28,3,4.15,0.5,0,0,5.0
20,4,1,20,28,12,2.02,0.714,1,0,50.0
21,6,2,22,28,10,2.21,0.786,1,1,77.2
15,1,1,11,28,9,4.36,0.393,1,0,7.3
22,0,3,21,28,3,2.86,0.75,1,0,23.6
18,2,2,13,28,1,4.13,0.464,0,0,7.6
20,5,2,5,28,3,3.7,0.179,1,1,3.3
19,4,6,9,28,10,4.29,0.321,1,0,6.4
15,4,3,18,28,9,2.57,0.643,1,0,44.0
13,0,5,17,28,10,4.82,0.607,1,0,49.4
19,6,2,13,28,3,3.21,0.464,1,1,2.8
12,6,2,15,28,11,2.31,0.536,0,1,25.8
20,0,3,23,28,2,3.52,0.821,1,0,13.6
16,6,1,5,28,6,2.97,0.179,0,1,6.2
19,3,3,1,28,0,3.92,0.036,1,0,6.0
18,2,3,22,28,7,3.13,0.786,0,0,39.0
21,3,6,11,28,13,4.88,0.393,1,0,6.2
16,1,5,22,28,11,1.74,0.786,0,0,66.9
17,4,3,11,28,14,2.27,0.393,0,0,3.0
14,6,5,15,28,4,2.91,0.536,1,1,24.4
13,5,4,13,28,13,3.3,0.464,1,1,6.3
13,4,2,24,28,11,1.76,0.857,1,0,107.8
21,1,5,22,28,9,3.1,0.786,1,0,82.8
20,1,2,18,28,4,1.84,0.643,1,0,15.2
22,0,2,20,28,13,1.64,0.714,1,0,63.4
18,5,3,18,28,3,3.47,0.643,0,1,8.2
18,0,4,10,28,0,4.95,0.357,0,0,3.5
16,0,6,20,28,11,4.74,0.714,0,0,60.5
14,5,2,4,28,7,3.15,0.143,1,1,3.9
19,4,5,0,28,0,3.56,0.0,1,0,6.9
13,0,3,24,28,14,2.75,0.857,1,0,120.0
17,3,2,12,28,1,2.56,0.429,0,0,7.8
17,5,2,12,28,0,4.68,0.429,0,1,2.0
12,2,6,6,28,5,2.07,0.214,0,0,7.8
14,0,1,14,28,1,3.07,0.5,1,0,5.7
17,1,2,6,28,0,4.59,0.214,0,0,2.6
14,5,2,11,28,3,3.61,0.393,1,1,3.4
13,5,2,9,28,8,3.84,0.321,1,1,2.8
18,2,2,16,28,0,2.71,0.571,0,0,5.0
22,0,4,23,28,11,4.28,0.821,1,0,105.4
22,3,2,16,28,12,3.27,0.571,1,0,41.9
21,2,2,6,28,11,3.3,0.214,1,0,7.1
21,3,5,6,28,0,3.49,0.214,1,0,7.2
16,6,4,6,28,3,1.82,0.214,0,1,4.7
19,2,4,7,28,14,3.6,0.25,1,0,5.3
22,5,6,19,28,8,4.61,0.679,1,1,64.7
17,3,2,22,28,3,4.38,0.786,0,0,12.9
19,0,4,11,28,9,2.62,0.393,1,0,3.2
16,3,8,17,28,1,3.06,0.607,0,0,5.6
14,6,4,18,28,11,2.83,0.643,1,1,66.7
17,6,1,17,28,5,4.95,0.607,0,1,10.9
16,1,3,2,28,2,1.97,0.071,0,0,7.7
13,4,2,15,28,0,3.67,0.536,1,0,5.0
18,1,2,6,28,7,2.34,0.214,0,0,3.3
15,1,1,12,28,2,1.99,0.429,1,0,7.2
18,2,3,3,28,8,2.56,0.107,0,0,6.3
13,6,2,24,28,7,1.82,0.857,1,1,79.0
11,2,4,1,28,8,4.22,0.036,0,0,3.4
22,2,5,21,28,14,1.98,0.75,1,0,113.5
13,2,5,11,28,7,4.68,0.393,1,0,7.1
